"date","pais","equipo","material","cantidad","um"
2023-01-21,"Brasil","zona_de_colada_continua_2",661321,1360,"KG"
2023-01-23,"Brasil","zona_de_colada_continua_2",626312,41.75,"KG"
2023-01-24,"Brasil","zona_de_colada_continua_2",626312,50.1,"KG"
2023-01-24,"Perú","zona_de_colada_continua_2",626356,384,"KG"
2023-01-25,"Perú","zona_de_colada_continua_2",626356,240,"KG"
2023-01-26,"Brasil","zona_de_colada_continua_2",626312,25.05,"KG"
2023-01-27,"Alemania","cuba_horno_electrico_ebt",626128,167.36,"KG"
2023-01-27,"Alemania","cuchara_na_2",626285,850,"KG"
2023-01-27,"Alemania","cuchara_na_4",626285,650,"KG"
2023-01-27,"Alemania","cuchara_na_6",626285,600,"KG"
2023-01-27,"Alemania","instalaciones_y_servicios_auxiliares",626264,10500,"KG"
2023-01-27,"Alemania","zona_de_colada_continua_2",626285,750,"KG"
2023-01-27,"Austria","boveda_horno_electrico_ebt",661191,6000,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",600026,175,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661297,4261.62,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661300,1450.8,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661301,855.6,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661302,2986.2,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661303,13853.7,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661304,9639,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661305,1703.28,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661307,3124.8,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661308,4371,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661309,1432.2,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661310,337.5,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661314,555.15,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661315,2264,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661316,677.5,"KG"
2023-01-27,"Brasil","cuba_horno_electrico_ebt",661467,5432,"KG"
2023-01-27,"Brasil","cuchara_na_2",660685,92.24,"KG"
2023-01-27,"Brasil","cuchara_na_4",660685,184.48,"KG"
2023-01-27,"Brasil","cuchara_na_6",660685,92.24,"KG"
2023-01-27,"Brasil","zona_de_colada_continua_2",650946,89779.568,"KG"
2023-01-27,"Brasil","zona_de_colada_continua_2",661317,5000,"KG"
2023-01-27,"Brasil","zona_de_colada_continua_2",661318,30000,"KG"
2023-01-27,"Brasil","zona_de_colada_continua_2",661320,2400,"KG"
2023-01-27,"Brasil","zona_de_colada_continua_2",661372,28.79,"KG"
2023-01-27,"Brasil","zona_de_colada_continua_2",661373,105.48,"KG"
2023-01-27,"Brasil","zona_de_colada_continua_2",671352,1320,"KG"
2023-01-27,"España","cuba_horno_electrico_ebt",600027,57650,"KG"
2023-01-27,"España","cuba_horno_electrico_ebt",600029,9900,"KG"
2023-01-27,"España","cuba_horno_electrico_ebt",600031,47350,"KG"
2023-01-27,"España","cuba_horno_electrico_ebt",600033,13500,"KG"
2023-01-27,"Perú","boveda_horno_electrico_ebt",626261,300,"KG"
2023-01-27,"Perú","cuchara_na_2",626221,850,"KG"
2023-01-27,"Perú","cuchara_na_2",626227,1650,"KG"
2023-01-27,"Perú","cuchara_na_2",626246,1600,"KG"
2023-01-27,"Perú","cuchara_na_2",629872,73,"KG"
2023-01-27,"Perú","cuchara_na_2",661469,6906.9,"KG"
