"date","material","colada","prod"
2023-01-01,303661,"B00011186",126.9
2023-01-01,303661,"B00011187",126.9
2023-01-01,303661,"B00011188",135.36
2023-01-01,303661,"B00011189",132.54
2023-01-01,303661,"B00011190",132.54
2023-01-01,303661,"B00011191",138.18
2023-01-01,303661,"B00011192",129.766
2023-01-01,303661,"B00011193",135.408
2023-01-01,303661,"B00011194",129.766
2023-01-01,303661,"B00011195",135.408
2023-01-01,303661,"B00011196",132.54
2023-01-01,303661,"B00011197",132.54
2023-01-01,303661,"B00011198",132.54
2023-01-01,303661,"B00011199",135.36
2023-01-01,303661,"B00011200",132.54
2023-01-01,303661,"B00011201",132.54
2023-01-02,303661,"B00011202",129.536
2023-01-02,303661,"B00011203",137.984
2023-01-02,303661,"B00011204",137.984
2023-01-02,303661,"B00011205",135.168
2023-01-02,303661,"B00011206",132.446
2023-01-02,303661,"B00011207",135.264
2023-01-02,303661,"B00011208",132.446
2023-01-02,303661,"B00011209",135.264
2023-01-02,303661,"B00011210",132.446
2023-01-02,303661,"B00011211",132.446
2023-01-02,303661,"B00011212",132.446
2023-01-02,303661,"B00011213",135.264
2023-01-02,303661,"B00011214",135.264
2023-01-02,303661,"B00011215",132.54
2023-01-02,303661,"B00011216",135.408
2023-01-02,303661,"B00011217",143.871
2023-01-02,303661,"B00011218",132.587
2023-01-02,303661,"B00011219",129.766
2023-01-02,303661,"B00011220",135.408
2023-01-02,303661,"B00011221",135.408
2023-01-02,303661,"B00011222",107.198
2023-01-02,303710,"B00011223",160.95
2023-01-02,303710,"B00011224",135.975
2023-01-02,303710,"B00011225",116.55
2023-01-03,303475,"B00011226",135.36
2023-01-03,303475,"B00011227",126.9
2023-01-03,303475,"B00011228",135.648
2023-01-03,303475,"B00011229",132.822
2023-01-03,303475,"B00011230",141.3
2023-01-03,303475,"B00011231",135.648
2023-01-03,303475,"B00011232",127.035
2023-01-03,303475,"B00011233",127.035
2023-01-03,303475,"B00011234",127.035
2023-01-03,303475,"B00011235",129.858
2023-01-03,303475,"B00011236",112.92
2023-01-03,303475,"B00011237",124.344
2023-01-03,303475,"B00011238",115.866
2023-01-03,303475,"B00011239",141.3
2023-01-03,303475,"B00011240",129.996
2023-01-03,303475,"B00011241",115.866
2023-01-03,303475,"B00011242",118.65
2023-01-03,303475,"B00011243",124.3
2023-01-03,303475,"B00011244",110.175
2023-01-03,303475,"B00011245",118.65
2023-01-03,303475,"B00011246",115.825
2023-01-03,303961,"B00011247",102.24
2023-01-03,303961,"B00011248",85.2
2023-01-04,303452,"B00011249",138.18
2023-01-04,303452,"B00011250",138.18
2023-01-04,303452,"B00011251",138.18
2023-01-04,303452,"B00011252",124.08
2023-01-04,303452,"B00011253",138.18
2023-01-04,303452,"B00011254",138.18
2023-01-04,303452,"B00011255",124.08
2023-01-04,303452,"B00011256",118.44
2023-01-04,303452,"B00011257",138.18
2023-01-04,303452,"B00011258",141
2023-01-04,303452,"B00011259",135.36
2023-01-04,303452,"B00011260",141
2023-01-04,303452,"B00011261",138.376
2023-01-04,303452,"B00011262",132.728
2023-01-04,303452,"B00011263",132.728
2023-01-04,303452,"B00011264",132.728
2023-01-04,303452,"B00011265",129.904
2023-01-04,303452,"B00011266",135.504
2023-01-04,303452,"B00011267",132.681
2023-01-04,303452,"B00011268",129.858
2023-01-04,303452,"B00011269",129.858
2023-01-04,303452,"B00011270",138.327
2023-01-04,303452,"B00011271",138.327
2023-01-04,303452,"B00011272",135.504
2023-01-04,303452,"B00011273",118.44
2023-01-04,303452,"B00011274",129.72
2023-01-04,303452,"B00011275",135.36
2023-01-04,303452,"B00011276",112.8
2023-01-05,303478,"B00011277",132.728
